label,ns,ne,nw,nh,nk,na,nf,se,sw,sh,sk,sa,sf,ew,eh,ek,ea,ef,wh,wk,wa,wf,hk,ha,hh,hf,ka,kh,kf,ah,af
correct,11.48279964,4.780944103,10.35638812,42.84069308,39.35065579,41.13455777,35.29035333,7.637353862,17.98205983,31.36233479,27.87060459,29.65846156,23.86754788,10.80401576,38.64249647,35.26807022,36.92699591,31.40611346,47.14433772,44.13463043,45.43795382,40.76175408,3.363596955,5.893557675,7.137433379,8.527100074,2.532687516,3.851100436,4.677745106,1.718273114,7.129421738
correct,2.049407365,3.993128166,3.752025506,19.9553645,11.69081022,18.91067106,20.74221075,5.500384773,4.099875838,21.67099633,13.38930894,20.61219022,22.61336599,2.884461713,16.18138797,7.904310554,15.11894814,17.26374046,18.40593133,10.25222474,17.32792157,19.78179918,7.582351727,14.80602447,15.85487014,3.398473844,7.226400968,8.281866636,9.566214155,1.080883841,3.953437454
correct,1.81882221,8.854085601,6.954621096,40.54394867,23.06436804,38.38218734,42.34565617,9.987086358,7.475561699,41.89931377,24.4709213,39.73152735,43.87491413,3.823385172,31.98465481,14.69602786,29.81300171,34.30889377,35.26846298,18.23372013,33.09675876,37.88920424,13.58493159,28.91430042,31.07289585,6.356120391,15.35635799,17.50481535,19.65596751,2.172779207,7.342722612
correct,4.71731229,5.945393318,6.65476656,49.22345436,27.39213844,46.42163356,48.78081322,10.02188294,8.602083374,53.82327607,32.00331949,51.01250049,53.48760373,4.650082385,43.98342935,22.25030552,41.16053939,44.08805937,47.23838129,25.82441258,44.40783147,47.86024851,19.51859037,38.55094869,41.35000057,7.018768956,19.03385064,21.83151151,22.0673846,2.830668999,7.627143219
correct,2.477836289,13.06176877,11.14997958,49.10079075,30.73341282,46.63616522,47.51150603,12.17682771,9.166175158,48.1495672,29.85397484,45.68653818,46.8936526,6.711745939,36.05405591,17.70680359,33.58914794,34.72962511,40.16822642,22.35019329,37.73313138,39.70713423,15.97559469,31.87106895,34.32920483,6.200887527,15.91171554,18.37456787,17.35988433,2.464910568,5.979277743
correct,1.667077475,9.451394994,8.466758842,31.4874227,19.33823631,29.48287394,32.74635806,8.619765115,7.121071791,30.90560545,18.80241847,28.88941542,32.39094439,3.673209932,22.35238313,10.36607785,20.3311699,24.1191997,25.03957225,13.44106099,23.02302825,27.19092019,10.49414329,20.64770925,22.63488504,4.498191972,10.15675047,12.15264094,13.77529621,2.02255584,5.531644174
correct,11.81271766,9.634332759,6.936724589,67.44886533,52.74083396,65.49133694,63.14387159,11.70431414,15.85003628,59.31967267,44.3720639,57.57042184,55.82191505,7.100140113,58.50932073,44.07363065,56.48319718,53.94298246,65.07122479,50.85639397,62.99732861,60.27933704,18.2383807,31.48470591,33.08563135,6.001179961,13.25633216,14.94761011,12.26766798,2.224564666,3.896572708
correct,5.24236525,3.052955522,7.307300618,20.92791999,17.15652552,19.85219303,16.90491584,4.729662715,9.647152549,15.75329758,11.9273478,14.69065417,11.67673603,5.158910219,19.34164937,15.83731245,18.24456999,15.58365184,22.26076953,19.28088789,21.17122067,19.03577687,2.402448014,5.565314736,6.390717637,4.278240639,3.173787524,4.059942404,0.253844006,1.100237816,3.366665135
correct,15.97348331,15.49728684,11.54273781,62.65765098,51.87570381,61.38163536,56.53016761,9.393852899,16.52095585,47.16680145,36.13636609,45.93321048,41.13630813,9.333399665,48.52308446,38.47006138,47.19971964,42.34650067,57.28013537,47.57928798,55.94139529,51.1260498,14.43907733,24.74699985,25.81755453,6.177101462,10.32303305,11.3786667,6.303072565,1.348954126,4.864236359
correct,3.96302903,7.510572261,8.277295151,47.87158178,28.08182107,45.52614444,47.38941062,10.92882833,10.11787737,51.344142,31.66056047,49.00353499,51.1520767,4.990384776,40.43732045,20.73288849,38.09434089,40.31847462,42.23911766,23.15921969,39.92989059,43.05196667,19.86866827,37.37499665,39.7200187,7.983765516,17.5097127,19.85361472,19.90182609,2.346116933,7.981716032
correct,10.47719983,6.992857402,8.417354692,41.71646355,35.17948305,40.03197231,35.87073892,5.279771281,13.3372148,31.24222226,24.72967141,29.55640866,25.50863942,8.066553057,35.67273271,29.33735659,33.97599812,30.30840599,42.48673227,36.4601192,40.7980501,37.65939484,8.384919975,13.30664019,14.97052554,6.976021584,5.11397939,6.695179148,2.290491988,1.697150258,5.727257489
correct,10.83959732,3.247395221,9.267086111,43.56002226,38.18559405,41.94701744,36.36160601,8.069494126,17.89397462,32.78036932,27.37189879,31.17542395,25.52235238,10.28871766,40.54890935,35.22203293,38.93004844,33.49835656,48.77793513,43.74218784,47.15437545,42.40336045,4.875660753,8.499856256,9.686805296,8.083294821,4.027449596,5.520436079,2.943412588,1.626454403,6.763047646
